 ,Label,Area,Mean,Min,Max,Length
1,Segundo teste (50_50).png:0295-0840,0.776,153.008,73.002,233.209,6.649
2,Segundo teste (50_50).png:0529-0852,0.422,132.756,73.207,160.383,3.506
3,Segundo teste (50_50).png:0680-0340,0.245,133.685,93.333,173.092,1.987
4,Segundo teste (50_50).png:0513-0370,0.681,148.219,94.583,174.317,5.894
5,Segundo teste (50_50).png:0500-0626,0.327,131.267,55.333,198.247,2.769
6,Segundo teste (50_50).png:0310-1709,1.103,91.977,48.000,137.127,9.390
7,Segundo teste (50_50).png:0500-1663,0.926,136.033,62.331,194.598,7.919
8,Segundo teste (50_50).png:0834-1399,0.980,144.371,103.000,183.206,8.301
9,Segundo teste (50_50).png:0796-1696,0.858,112.299,14.983,225.298,7.305
10,Segundo teste (50_50).png:0552-1219,0.436,110.524,67.592,176.800,3.742
11,Segundo teste (50_50).png:0745-1221,0.926,128.486,74.515,160.166,7.946
12,Segundo teste (50_50).png:0281-1214,0.762,179.645,68.205,240.358,6.482
13,Segundo teste (50_50).png:0571-1784,0.681,109.947,63.000,143.327,5.737
