 ,Label,Area,Mean,Min,Max,Length
1,Terceiro teste (5050).jpg:0291-0399,3.550,195.394,84.654,230.190,33.352
2,Terceiro teste (5050).jpg:0449-0212,2.781,222.773,122.052,254.998,26.114
3,Terceiro teste (5050).jpg:0730-0370,4.251,214.511,95.614,255.000,39.928
4,Terceiro teste (5050).jpg:0702-0290,3.946,226.376,89.924,255.000,37.106
5,Terceiro teste (5050).jpg:0500-0667,4.127,215.700,142.145,254.020,38.751
6,Terceiro teste (5050).jpg:0249-0650,5.065,217.993,80.480,255.000,47.552
7,Terceiro teste (5050).jpg:0859-0751,3.833,217.080,80.000,254.594,35.999
8,Terceiro teste (5050).jpg:0648-0737,3.833,199.828,81.152,253.859,35.995
9,Terceiro teste (5050).jpg:0526-0974,3.245,221.224,48.767,254.251,30.508
10,Terceiro teste (5050).jpg:0629-1232,3.358,223.242,42.229,254.935,31.519
11,Terceiro teste (5050).jpg:0571-1342,3.098,212.496,49.677,251.914,29.063
12,Terceiro teste (5050).jpg:0536-1327,3.041,201.837,36.834,254.471,28.621
13,Terceiro teste (5050).jpg:0401-1418,3.030,214.793,53.687,254.022,28.415
14,Terceiro teste (5050).jpg:0589-1628,3.222,191.199,44.881,253.055,30.337
15,Terceiro teste (5050).jpg:0695-1548,4.002,197.608,37.837,255.000,37.771
16,Terceiro teste (5050).jpg:0538-1754,2.736,219.475,78.000,254.039,25.680
17,Terceiro teste (5050).jpg:1179-1522,1.752,198.437,118.842,250.410,16.469
18,Terceiro teste (5050).jpg:1450-1764,3.075,214.083,42.000,254.360,28.881
19,Terceiro teste (5050).jpg:1713-1667,3.358,216.687,55.333,254.337,31.654
20,Terceiro teste (5050).jpg:1806-1632,2.555,188.812,26.754,252.495,24.022
21,Terceiro teste (5050).jpg:1495-1593,2.612,210.171,68.354,254.118,24.564
22,Terceiro teste (5050).jpg:2471-1016,3.539,219.119,91.000,254.827,33.282
23,Terceiro teste (5050).jpg:2234-0861,3.177,182.684,55.957,249.230,29.825
24,Terceiro teste (5050).jpg:2138-0678,2.770,190.049,46.333,242.815,25.961
25,Terceiro teste (5050).jpg:2330-0695,3.177,226.287,67.688,254.864,29.808
26,Terceiro teste (5050).jpg:2449-0674,3.561,194.681,80.056,254.587,33.497
27,Terceiro teste (5050).jpg:2517-0430,3.380,205.505,68.308,242.153,31.720
28,Terceiro teste (5050).jpg:2396-0496,3.765,189.198,34.564,254.704,35.314
29,Terceiro teste (5050).jpg:2256-0340,3.527,176.203,47.880,237.553,33.084
30,Terceiro teste (5050).jpg:2275-0455,3.505,223.410,49.833,255.000,32.919
31,Terceiro teste (5050).jpg:2431-0550,3.019,189.423,58.652,254.167,28.314
32,Terceiro teste (5050).jpg:1810-0436,3.109,222.720,95.025,255.000,29.181
33,Terceiro teste (5050).jpg:1807-0245,2.193,198.067,57.102,247.881,20.634
34,Terceiro teste (5050).jpg:1484-0475,3.742,208.078,52.667,255.000,35.189
35,Terceiro teste (5050).jpg:1476-0335,2.725,194.256,50.670,255.000,25.554
36,Terceiro teste (5050).jpg:1369-0529,3.086,194.064,41.663,255.000,28.962
37,Terceiro teste (5050).jpg:1411-0198,3.810,222.193,46.000,255.000,35.763
38,Terceiro teste (5050).jpg:1230-0339,3.810,219.723,59.028,255.000,35.829
39,Terceiro teste (5050).jpg:1438-0687,3.471,211.666,124.316,255.000,32.634
