 ,Label,Area,Mean,Min,Max,Length
1,Terceiro teste (5050).jpg:0385-0345,2.123,219.848,170.120,254.067,19.072
2,Terceiro teste (5050).jpg:0214-0526,1.284,219.916,125.440,255.000,11.506
3,Terceiro teste (5050).jpg:0410-0593,1.136,208.597,186.013,253.213,10.145
4,Terceiro teste (5050).jpg:0641-0556,1.346,235.236,137.627,255.000,12.049
5,Terceiro teste (5050).jpg:0362-0886,2.173,225.463,158.014,255.000,19.574
6,Terceiro teste (5050).jpg:0508-0915,3.593,237.463,27.501,255.000,32.266
7,Terceiro teste (5050).jpg:0684-0852,2.062,227.788,164.278,255.000,18.485
8,Terceiro teste (5050).jpg:1372-0596,1.963,217.885,123.906,255.000,17.646
9,Terceiro teste (5050).jpg:1723-0438,2.210,240.641,202.333,255.000,19.800
10,Terceiro teste (5050).jpg:1353-0372,1.086,224.566,197.788,253.667,9.689
11,Terceiro teste (5050).jpg:2247-0589,1.160,199.943,147.582,241.843,10.405
12,Terceiro teste (5050).jpg:2512-0343,2.272,189.090,60.000,255.000,20.494
13,Terceiro teste (5050).jpg:2512-0343,2.272,189.090,60.000,255.000,20.494
14,Terceiro teste (5050).jpg:2524-0674,1.605,236.689,168.219,255.000,14.440
15,Terceiro teste (5050).jpg:2524-0674,1.605,236.689,168.219,255.000,14.440
16,Terceiro teste (5050).jpg:2426-0315,1.667,243.608,212.384,255.000,14.982
17,Terceiro teste (5050).jpg:2106-0607,1.827,241.823,205.625,254.981,16.452
18,Terceiro teste (5050).jpg:2230-0671,1.333,217.811,158.613,252.076,11.918
19,Terceiro teste (5050).jpg:2424-1025,3.716,244.435,189.423,255.000,33.392
20,Terceiro teste (5050).jpg:0573-1589,3.951,213.187,100.435,253.086,35.581
21,Terceiro teste (5050).jpg:0505-1490,2.802,216.460,123.693,251.860,25.293
22,Terceiro teste (5050).jpg:0449-1413,3.099,235.141,167.721,255.000,27.914
23,Terceiro teste (5050).jpg:0726-1589,2.580,221.647,79.667,255.000,23.204
24,Terceiro teste (5050).jpg:1483-1536,1.284,223.933,81.972,254.983,11.449
25,Terceiro teste (5050).jpg:1751-1558,1.691,211.225,46.987,254.516,15.288
26,Terceiro teste (5050).jpg:1537-1764,2.741,227.706,94.731,254.951,24.583
