 ,Label,Area,Mean,Min,Max,Length
1,Segundo teste (controle).png:0569-0259,0.745,119.690,60.488,158.667,6.606
2,Segundo teste (controle).png:0326-0351,0.480,153.372,130.114,189.171,4.227
3,Segundo teste (controle).png:0759-0231,0.353,203.850,119.000,252.200,3.084
4,Segundo teste (controle).png:0614-0739,0.770,147.633,61.660,227.494,6.761
5,Segundo teste (controle).png:0603-0520,0.530,159.789,72.333,247.736,4.674
6,Segundo teste (controle).png:0783-0482,0.467,125.763,80.000,151.312,4.149
7,Segundo teste (controle).png:0395-0746,0.593,131.004,64.000,180.402,5.253
8,Segundo teste (controle).png:0423-0502,0.442,128.419,72.926,186.793,3.907
9,Segundo teste (controle).png:0398-1746,0.505,97.318,46.412,178.132,4.424
10,Segundo teste (controle).png:0789-1571,0.391,149.203,89.315,232.067,3.395
11,Segundo teste (controle).png:0612-1736,0.379,135.292,96.000,205.135,3.351
12,Segundo teste (controle).png:0621-1608,0.341,145.038,45.386,251.801,2.943
13,Segundo teste (controle).png:0381-1719,0.391,152.165,66.400,236.051,3.461
14,Segundo teste (controle).png:0756-1766,0.467,158.712,72.875,238.455,4.100
15,Segundo teste (controle).png:0646-1369,0.631,126.143,27.923,233.146,5.569
16,Segundo teste (controle).png:0736-1221,0.454,117.112,23.000,213.560,3.967
17,Segundo teste (controle).png:0391-1208,0.518,106.011,67.646,238.675,4.526
18,Segundo teste (controle).png:1427-1059,0.922,188.465,66.795,254.700,8.207
19,Segundo teste (controle).png:1216-1292,0.656,113.179,17.333,154.701,5.760
20,Segundo teste (controle).png:1307-1095,0.619,125.454,93.522,167.667,5.493
21,Segundo teste (controle).png:1241-1547,0.568,164.006,78.667,219.122,4.961
22,Segundo teste (controle).png:1509-1674,0.745,134.047,83.666,253.507,6.602
23,Segundo teste (controle).png:1627-1353,0.669,153.875,84.000,226.728,5.900
24,Segundo teste (controle).png:1646-1053,0.669,185.314,70.000,255.000,5.892
25,Segundo teste (controle).png:1805-1344,0.505,130.474,117.888,169.650,4.457
26,Segundo teste (controle).png:2069-0293,0.846,163.073,64.013,255.000,7.590
27,Segundo teste (controle).png:2020-0677,0.707,196.876,87.904,239.505,6.258
28,Segundo teste (controle).png:2275-0241,0.821,180.872,86.790,246.357,7.287
29,Segundo teste (controle).png:2269-0512,0.757,118.217,50.244,160.147,6.720
30,Segundo teste (controle).png:2324-0677,0.808,107.591,29.975,193.474,7.094
31,Segundo teste (controle).png:2559-0235,0.619,204.307,130.667,252.571,5.419
32,Segundo teste (controle).png:2184-0111,0.833,153.715,69.910,248.020,7.425
33,Segundo teste (controle).png:1496-0515,0.429,187.934,104.333,254.344,3.775
34,Segundo teste (controle).png:1493-0317,0.720,166.463,82.667,255.000,6.419
35,Segundo teste (controle).png:1492-0153,0.328,118.826,79.531,158.920,2.923
