 ,Label,Area,Mean,Min,Max,Length
1,Terceiro teste (a?gua destilada).jpg:0382-0240,1.959,160.041,48.000,201.209,17.323
2,Terceiro teste (a?gua destilada).jpg:0658-0323,1.971,185.008,62.390,242.481,17.465
3,Terceiro teste (a?gua destilada).jpg:0651-0615,1.934,169.028,39.350,234.440,17.167
4,Terceiro teste (a?gua destilada).jpg:0572-0554,1.479,159.060,47.667,242.653,13.113
5,Terceiro teste (a?gua destilada).jpg:0489-0427,2.060,178.596,45.667,252.615,18.309
6,Terceiro teste (a?gua destilada).jpg:0681-0371,2.199,134.958,50.453,223.865,19.485
7,Terceiro teste (a?gua destilada).jpg:0359-0668,1.719,187.491,48.025,249.305,15.266
8,Terceiro teste (a?gua destilada).jpg:0899-0392,1.719,132.605,50.667,214.461,15.279
9,Terceiro teste (a?gua destilada).jpg:0379-1227,1.365,149.940,44.778,229.031,12.125
10,Terceiro teste (a?gua destilada).jpg:0305-1419,1.681,125.673,57.000,196.941,14.969
11,Terceiro teste (a?gua destilada).jpg:0405-1619,1.365,138.226,38.496,193.123,12.059
12,Terceiro teste (a?gua destilada).jpg:0329-1643,1.238,127.112,45.521,246.857,10.978
13,Terceiro teste (a?gua destilada).jpg:0562-1634,1.757,156.876,57.333,228.610,15.598
14,Terceiro teste (a?gua destilada).jpg:0779-1561,1.820,159.621,44.489,215.013,16.099
15,Terceiro teste (a?gua destilada).jpg:0672-1363,1.403,177.374,59.250,238.360,12.453
16,Terceiro teste (a?gua destilada).jpg:0565-1303,1.984,177.807,21.476,250.359,17.600
17,Terceiro teste (a?gua destilada).jpg:0503-1511,1.542,152.762,29.356,215.957,13.679
18,Terceiro teste (a?gua destilada).jpg:1610-1644,1.453,108.406,42.000,227.512,12.916
19,Terceiro teste (a?gua destilada).jpg:1658-1327,1.567,150.036,36.523,253.370,13.957
20,Terceiro teste (a?gua destilada).jpg:1555-1332,1.188,163.166,61.601,239.922,10.472
21,Terceiro teste (a?gua destilada).jpg:1689-1099,1.327,167.004,32.317,248.186,11.747
22,Terceiro teste (a?gua destilada).jpg:1528-1078,2.009,153.597,36.046,225.977,17.821
23,Terceiro teste (a?gua destilada).jpg:1152-0498,1.807,169.038,50.333,214.450,16.119
24,Terceiro teste (a?gua destilada).jpg:1297-0616,1.693,163.196,70.215,233.856,15.123
25,Terceiro teste (a?gua destilada).jpg:1411-0510,1.693,138.922,30.038,254.190,15.073
26,Terceiro teste (a?gua destilada).jpg:1309-0512,1.618,172.087,20.239,254.667,14.416
27,Terceiro teste (a?gua destilada).jpg:1124-0333,2.275,190.623,36.400,253.093,20.380
28,Terceiro teste (a?gua destilada).jpg:1282-0346,1.769,140.346,19.620,247.340,15.834
29,Terceiro teste (a?gua destilada).jpg:1270-0213,2.098,197.471,36.121,255.000,18.671
30,Terceiro teste (a?gua destilada).jpg:1416-0368,1.428,203.529,42.667,251.125,12.674
31,Terceiro teste (a?gua destilada).jpg:2136-0577,1.188,159.508,78.273,212.826,10.546
32,Terceiro teste (a?gua destilada).jpg:2078-0411,1.971,138.005,46.329,250.355,17.600
33,Terceiro teste (a?gua destilada).jpg:2208-0425,1.643,183.912,46.287,254.615,14.723
34,Terceiro teste (a?gua destilada).jpg:2297-0339,1.643,181.959,81.775,218.795,14.520
35,Terceiro teste (a?gua destilada).jpg:2298-0277,1.415,175.692,121.166,250.832,12.537
36,Terceiro teste (a?gua destilada).jpg:2475-0516,2.325,200.794,1.073,254.988,20.636
37,Terceiro teste (a?gua destilada).jpg:2305-0512,1.656,140.361,36.424,242.145,14.747
