 ,Label,Area,Mean,Min,Max,Length
1,Terceiro teste (a?gua destilada).jpg:0633-0449,1.767,203.462,111.674,255.000,15.320
2,Terceiro teste (a?gua destilada).jpg:0344-0277,0.962,172.252,86.774,253.000,8.408
3,Terceiro teste (a?gua destilada).jpg:0485-0434,1.833,200.233,104.624,250.000,15.924
4,Terceiro teste (a?gua destilada).jpg:0635-0450,1.529,224.233,136.997,255.000,13.332
5,Terceiro teste (a?gua destilada).jpg:0342-0280,1.042,188.781,93.140,255.000,9.120
6,Terceiro teste (a?gua destilada).jpg:0484-0429,1.793,203.239,154.349,228.112,15.514
7,Terceiro teste (a?gua destilada).jpg:0630-0443,1.925,209.087,115.073,255.000,16.684
8,Terceiro teste (a?gua destilada).jpg:0882-0414,1.411,159.667,55.652,229.068,12.279
9,Terceiro teste (a?gua destilada).jpg:1417-0230,3.415,216.614,43.540,255.000,29.864
10,Terceiro teste (a?gua destilada).jpg:1451-0406,1.173,209.655,129.283,249.912,10.195
11,Terceiro teste (a?gua destilada).jpg:1347-0354,1.543,150.273,29.359,222.139,13.483
12,Terceiro teste (a?gua destilada).jpg:1204-0519,1.529,228.596,87.847,255.000,13.402
13,Terceiro teste (a?gua destilada).jpg:1204-0519,1.529,228.596,87.847,255.000,13.402
14,Terceiro teste (a?gua destilada).jpg:1337-0561,1.701,213.333,91.194,253.315,14.761
15,Terceiro teste (a?gua destilada).jpg:1443-0590,1.859,218.797,82.737,254.018,16.170
16,Terceiro teste (a?gua destilada).jpg:0670-0554,1.727,230.855,112.336,255.000,15.057
17,Terceiro teste (a?gua destilada).jpg:0386-0670,1.569,229.131,160.096,255.000,13.569
18,Terceiro teste (a?gua destilada).jpg:2263-0542,1.292,189.407,58.186,254.791,11.290
19,Terceiro teste (a?gua destilada).jpg:2133-0592,1.318,192.516,127.533,254.333,11.594
20,Terceiro teste (a?gua destilada).jpg:2072-0476,1.846,193.514,98.989,255.000,16.214
21,Terceiro teste (a?gua destilada).jpg:2355-0289,1.635,211.768,87.704,253.826,14.161
22,Terceiro teste (a?gua destilada).jpg:2144-0317,1.411,227.334,111.677,254.799,12.245
23,Terceiro teste (a?gua destilada).jpg:0579-0267,1.173,187.378,53.467,254.943,10.237
24,Terceiro teste (a?gua destilada).jpg:0497-1487,4.377,239.443,115.994,255.000,38.091
25,Terceiro teste (a?gua destilada).jpg:0575-1739,1.529,234.623,130.601,255.000,13.322
26,Terceiro teste (a?gua destilada).jpg:0416-1572,3.151,193.627,44.839,255.000,27.345
27,Terceiro teste (a?gua destilada).jpg:0599-1384,0.883,225.963,74.333,255.000,7.626
28,Terceiro teste (a?gua destilada).jpg:0367-1271,0.936,197.205,68.510,255.000,8.122
29,Terceiro teste (a?gua destilada).jpg:1507-1294,2.835,232.035,74.810,255.000,24.679
