 ,Label,Area,Mean,Min,Max,Length
1,Terceiro teste (pura).jpg:0498-0258,1.237,130.514,35.868,203.915,11.471
2,Terceiro teste (pura).jpg:0055-0356,1.306,120.972,32.672,211.923,12.113
3,Terceiro teste (pura).jpg:0401-0663,1.480,137.857,57.207,210.137,13.732
4,Terceiro teste (pura).jpg:0528-0502,1.445,162.864,23.754,215.291,13.416
5,Terceiro teste (pura).jpg:0612-0482,1.896,157.636,56.478,222.325,17.702
6,Terceiro teste (pura).jpg:0723-0425,1.341,128.506,28.466,197.015,12.445
7,Terceiro teste (pura).jpg:0260-0273,1.029,134.244,44.667,212.235,9.655
8,Terceiro teste (pura).jpg:0214-0652,0.855,89.846,37.296,154.938,7.922
9,Terceiro teste (pura).jpg:0259-0475,0.971,129.504,45.900,187.920,9.081
10,Terceiro teste (pura).jpg:0451-0900,2.035,137.376,24.629,210.918,18.973
11,Terceiro teste (pura).jpg:1697-0931,1.723,157.408,48.776,204.118,15.999
12,Terceiro teste (pura).jpg:0867-1753,2.324,173.639,59.667,222.205,21.573
13,Terceiro teste (pura).jpg:0695-1605,1.399,169.495,36.591,220.307,12.982
14,Terceiro teste (pura).jpg:0748-1449,1.780,182.290,59.699,227.953,16.558
15,Terceiro teste (pura).jpg:0619-1380,1.191,161.668,36.259,207.972,10.972
16,Terceiro teste (pura).jpg:0906-1166,1.341,156.963,91.200,219.347,12.437
17,Terceiro teste (pura).jpg:0463-1502,1.584,174.712,89.689,231.050,14.674
18,Terceiro teste (pura).jpg:2429-0819,2.439,159.765,12.446,241.090,22.670
19,Terceiro teste (pura).jpg:2189-0674,1.353,156.722,39.309,212.043,12.548
20,Terceiro teste (pura).jpg:1968-0676,1.549,146.614,44.780,209.786,14.346
21,Terceiro teste (pura).jpg:2391-0463,1.387,106.294,32.892,178.286,12.902
22,Terceiro teste (pura).jpg:1150-0571,1.665,181.729,127.667,242.200,15.407
23,Terceiro teste (pura).jpg:1443-0656,1.711,159.153,50.419,202.944,15.865
24,Terceiro teste (pura).jpg:1431-0635,1.191,159.768,48.631,221.444,11.046
25,Terceiro teste (pura).jpg:1314-0291,1.225,138.248,61.540,180.568,11.400
26,Terceiro teste (pura).jpg:1723-0202,1.688,158.101,52.015,243.183,15.688
27,Terceiro teste (pura).jpg:1501-0142,2.370,148.723,23.167,223.278,22.066
28,Terceiro teste (pura).jpg:1591-0128,2.012,185.548,37.996,242.034,18.629
29,Terceiro teste (pura).jpg:1413-0058,2.208,193.763,41.000,249.831,20.549
30,Terceiro teste (pura).jpg:1609-0563,1.191,157.947,75.667,198.531,10.998
