 ,Label,Area,Mean,Min,Max,Length
1,Terceiro teste (pura).jpg:0482-0351,1.595,185.255,100.759,234.917,14.631
2,Terceiro teste (pura).jpg:0640-0503,1.264,161.896,18.357,229.980,11.754
3,Terceiro teste (pura).jpg:0643-0481,1.122,150.225,51.621,214.417,10.270
4,Terceiro teste (pura).jpg:0473-0554,1.713,172.780,50.801,207.438,15.746
5,Terceiro teste (pura).jpg:1321-0259,1.252,138.282,16.068,207.171,11.565
6,Terceiro teste (pura).jpg:1767-0336,5.860,206.866,30.479,230.542,54.116
7,Terceiro teste (pura).jpg:1719-0372,3.911,202.770,56.737,226.846,35.983
8,Terceiro teste (pura).jpg:1688-0223,2.174,178.303,33.353,229.966,20.007
9,Terceiro teste (pura).jpg:1440-0027,1.642,152.352,56.240,212.637,15.014
10,Terceiro teste (pura).jpg:0470-0830,2.209,165.631,30.709,239.299,20.413
11,Terceiro teste (pura).jpg:0441-0662,1.690,188.027,58.510,232.613,15.541
12,Terceiro teste (pura).jpg:0235-0691,1.701,177.190,29.809,230.196,15.591
13,Terceiro teste (pura).jpg:1473-0641,1.607,184.063,83.451,229.656,14.733
14,Terceiro teste (pura).jpg:1721-0888,1.323,162.772,68.167,213.394,12.262
15,Terceiro teste (pura).jpg:1918-0677,2.245,181.846,42.342,230.647,20.665
