 ,Label,Area,Mean,Min,Max,Length
1,Terceiro teste (sem solvente).jpg:0361-0323,3.717,189.632,81.044,248.101,33.406
2,Terceiro teste (sem solvente).jpg:0345-0429,2.905,194.437,42.376,251.201,26.225
3,Terceiro teste (sem solvente).jpg:0509-0487,2.855,198.430,64.191,249.734,25.727
4,Terceiro teste (sem solvente).jpg:0708-0317,2.806,188.751,36.636,254.775,25.293
5,Terceiro teste (sem solvente).jpg:0888-0199,2.092,177.307,63.598,240.692,18.833
6,Terceiro teste (sem solvente).jpg:0869-0315,2.326,182.852,44.576,247.877,20.917
7,Terceiro teste (sem solvente).jpg:0875-0493,3.434,213.384,65.317,255.000,30.921
8,Terceiro teste (sem solvente).jpg:0731-0143,3.729,199.749,94.448,243.265,33.594
9,Terceiro teste (sem solvente).jpg:0516-0700,3.483,214.237,93.335,252.842,31.290
10,Terceiro teste (sem solvente).jpg:0719-0656,3.508,218.334,82.381,254.846,31.627
11,Terceiro teste (sem solvente).jpg:0905-0712,3.705,214.642,41.061,251.922,33.383
12,Terceiro teste (sem solvente).jpg:1396-0830,3.742,211.799,100.554,255.000,33.697
13,Terceiro teste (sem solvente).jpg:1263-0757,3.582,187.348,61.175,243.970,32.234
14,Terceiro teste (sem solvente).jpg:1640-0620,4.652,213.415,43.667,255.000,41.952
15,Terceiro teste (sem solvente).jpg:1576-0614,4.640,199.549,65.544,253.972,41.796
16,Terceiro teste (sem solvente).jpg:1880-0509,2.806,172.570,46.667,253.240,25.338
17,Terceiro teste (sem solvente).jpg:1494-0461,2.252,176.351,39.333,251.928,20.255
18,Terceiro teste (sem solvente).jpg:1421-0356,3.582,221.220,54.854,255.000,32.267
19,Terceiro teste (sem solvente).jpg:1440-0243,3.803,198.436,53.232,255.000,34.279
20,Terceiro teste (sem solvente).jpg:1330-0271,3.914,179.720,29.824,255.000,35.182
21,Terceiro teste (sem solvente).jpg:2497-0249,2.720,182.855,37.667,251.333,24.509
22,Terceiro teste (sem solvente).jpg:2569-0331,2.425,189.732,42.607,252.619,21.848
23,Terceiro teste (sem solvente).jpg:2397-0479,3.040,205.912,29.746,254.847,27.353
24,Terceiro teste (sem solvente).jpg:2203-0453,2.240,176.632,36.147,253.799,20.138
25,Terceiro teste (sem solvente).jpg:2325-0680,3.705,227.278,37.975,255.000,33.349
26,Terceiro teste (sem solvente).jpg:0425-1331,4.406,204.153,31.333,255.000,39.704
27,Terceiro teste (sem solvente).jpg:0296-1555,1.772,194.532,55.684,252.742,15.977
28,Terceiro teste (sem solvente).jpg:0175-1593,2.055,227.913,140.165,253.671,18.484
29,Terceiro teste (sem solvente).jpg:0213-1570,3.791,221.197,65.333,252.557,34.103
30,Terceiro teste (sem solvente).jpg:0704-1356,2.634,171.995,50.333,235.859,23.679
31,Terceiro teste (sem solvente).jpg:1185-1381,4.874,219.719,17.711,254.906,43.881
32,Terceiro teste (sem solvente).jpg:1388-1433,4.074,225.205,61.375,255.000,36.723
33,Terceiro teste (sem solvente).jpg:1711-1477,4.098,190.635,34.713,230.954,36.936
34,Terceiro teste (sem solvente).jpg:1590-1217,3.569,196.601,48.789,254.091,32.090
35,Terceiro teste (sem solvente).jpg:1804-1386,3.360,157.132,49.292,248.811,30.274
36,Terceiro teste (sem solvente).jpg:1610-1749,3.926,215.353,45.791,255.000,35.445
