 ,Label,Area,Mean,Min,Max,Length
1,Terceiro teste (sem solvente).jpg:0348-0320,1.736,216.565,113.664,254.647,16.090
2,Terceiro teste (sem solvente).jpg:0656-0344,2.472,231.207,160.356,255.000,23.001
3,Terceiro teste (sem solvente).jpg:0495-0406,2.322,242.275,185.667,255.000,21.653
4,Terceiro teste (sem solvente).jpg:0995-0257,1.449,207.563,40.122,255.000,13.506
5,Terceiro teste (sem solvente).jpg:0852-0424,2.725,217.986,105.874,254.557,25.341
6,Terceiro teste (sem solvente).jpg:0739-0263,1.460,199.782,80.250,247.255,13.578
7,Terceiro teste (sem solvente).jpg:0769-0437,2.690,223.512,182.755,254.851,25.167
8,Terceiro teste (sem solvente).jpg:0802-0619,1.966,220.106,157.686,253.253,18.388
9,Terceiro teste (sem solvente).jpg:0670-0669,4.035,218.601,84.383,253.970,37.598
10,Terceiro teste (sem solvente).jpg:0393-0614,2.667,230.981,99.606,255.000,24.943
11,Terceiro teste (sem solvente).jpg:1332-0605,1.552,236.614,69.961,255.000,14.394
12,Terceiro teste (sem solvente).jpg:1299-0468,1.311,224.170,131.876,254.333,12.153
13,Terceiro teste (sem solvente).jpg:1482-0685,1.391,230.177,88.667,255.000,12.943
14,Terceiro teste (sem solvente).jpg:1482-0685,1.391,230.177,88.667,255.000,12.943
15,Terceiro teste (sem solvente).jpg:1824-0557,5.036,217.237,79.529,255.000,47.064
16,Terceiro teste (sem solvente).jpg:2261-0640,2.564,244.762,204.230,255.000,23.893
17,Terceiro teste (sem solvente).jpg:2224-0640,3.035,233.569,110.251,255.000,28.246
18,Terceiro teste (sem solvente).jpg:2463-0500,2.610,236.736,181.149,255.000,24.371
19,Terceiro teste (sem solvente).jpg:1826-0635,3.081,236.470,132.663,254.943,28.755
20,Terceiro teste (sem solvente).jpg:1772-0484,2.414,249.408,213.423,255.000,22.460
21,Terceiro teste (sem solvente).jpg:1462-0716,1.104,214.811,151.140,255.000,10.208
22,Terceiro teste (sem solvente).jpg:1550-0612,2.414,226.315,117.470,255.000,22.459
23,Terceiro teste (sem solvente).jpg:1292-0470,1.299,223.968,103.667,253.667,12.049
24,Terceiro teste (sem solvente).jpg:1321-0617,1.449,221.829,68.277,254.931,13.428
25,Terceiro teste (sem solvente).jpg:1457-0698,1.115,223.609,147.304,253.595,10.391
