 ,Label,Area,Mean,Min,Max,Length
1,Terceiro teste (so? folha).jpg:0370-0249,3.373,209.503,55.511,244.388,29.584
2,Terceiro teste (so? folha).jpg:0345-0496,3.257,230.828,146.333,251.944,28.672
3,Terceiro teste (so? folha).jpg:0591-0280,2.972,225.826,46.667,253.957,26.082
4,Terceiro teste (so? folha).jpg:0517-0286,2.636,162.545,41.882,254.987,23.190
5,Terceiro teste (so? folha).jpg:0588-0279,2.895,201.546,94.000,251.314,25.418
6,Terceiro teste (so? folha).jpg:0696-0314,1.732,187.474,46.204,253.168,15.323
7,Terceiro teste (so? folha).jpg:0614-0523,2.972,217.886,155.707,247.125,26.044
8,Terceiro teste (so? folha).jpg:0420-0644,3.063,209.002,30.446,252.967,26.937
9,Terceiro teste (so? folha).jpg:0710-0609,2.468,182.345,39.273,238.324,21.648
10,Terceiro teste (so? folha).jpg:0624-0652,2.494,183.468,36.541,236.526,21.967
11,Terceiro teste (so? folha).jpg:1243-0710,1.719,199.781,123.333,228.754,15.082
12,Terceiro teste (so? folha).jpg:1235-0681,1.809,184.937,54.986,228.286,15.867
13,Terceiro teste (so? folha).jpg:1431-0534,2.404,197.979,19.667,254.982,21.042
14,Terceiro teste (so? folha).jpg:1509-0478,2.934,167.051,28.745,238.380,25.802
15,Terceiro teste (so? folha).jpg:1712-0469,3.412,221.914,63.000,254.914,29.930
16,Terceiro teste (so? folha).jpg:1648-0616,2.378,172.521,36.711,233.092,20.964
17,Terceiro teste (so? folha).jpg:1648-0616,2.378,172.521,36.711,233.092,20.964
18,Terceiro teste (so? folha).jpg:1498-0285,2.468,184.438,80.277,227.158,21.671
19,Terceiro teste (so? folha).jpg:1421-0372,2.481,176.502,59.309,231.206,21.814
20,Terceiro teste (so? folha).jpg:2376-0587,1.926,160.254,48.220,209.951,16.881
21,Terceiro teste (so? folha).jpg:2366-0540,3.270,194.097,43.333,254.437,28.676
22,Terceiro teste (so? folha).jpg:2248-0558,2.210,191.564,58.667,234.900,19.470
23,Terceiro teste (so? folha).jpg:2429-0252,2.029,186.887,48.795,237.013,17.755
24,Terceiro teste (so? folha).jpg:2200-0370,1.861,228.189,105.333,254.539,16.343
25,Terceiro teste (so? folha).jpg:2010-0488,1.357,170.101,60.000,236.529,11.933
26,Terceiro teste (so? folha).jpg:2018-0321,1.654,161.505,48.255,236.550,14.621
27,Terceiro teste (so? folha).jpg:1999-0319,1.615,162.823,42.667,237.920,14.159
28,Terceiro teste (so? folha).jpg:1597-1539,2.946,193.255,86.586,252.715,25.871
29,Terceiro teste (so? folha).jpg:1269-1305,1.641,166.222,43.170,254.757,14.415
30,Terceiro teste (so? folha).jpg:1493-1249,2.610,228.660,49.130,254.093,22.917
31,Terceiro teste (so? folha).jpg:1255-1565,1.990,146.083,19.224,227.497,17.578
32,Terceiro teste (so? folha).jpg:1254-1630,2.804,205.547,52.641,254.876,24.662
33,Terceiro teste (so? folha).jpg:0935-1210,2.507,179.438,54.952,251.169,22.011
34,Terceiro teste (so? folha).jpg:0823-1570,2.210,190.233,45.194,234.933,19.374
35,Terceiro teste (so? folha).jpg:0670-1761,2.262,210.371,76.196,252.547,19.855
36,Terceiro teste (so? folha).jpg:0398-1754,2.481,213.473,44.333,253.312,21.751
37,Terceiro teste (so? folha).jpg:0414-1807,2.365,205.569,41.537,252.989,20.731
38,Terceiro teste (so? folha).jpg:0300-1418,2.985,211.234,129.076,254.036,26.273
39,Terceiro teste (so? folha).jpg:0549-1264,1.641,178.884,36.667,223.992,14.429
