 ,Label,Area,Mean,Min,Max,Length
1,Terceiro teste (so? folha).jpg:0578-0217,2.217,220.897,103.333,255.000,19.707
2,Terceiro teste (so? folha).jpg:0736-0315,1.108,226.671,194.333,253.274,9.899
3,Terceiro teste (so? folha).jpg:0466-0440,1.751,216.304,133.836,245.664,15.524
4,Terceiro teste (so? folha).jpg:0459-0421,2.305,213.795,155.216,251.079,20.570
5,Terceiro teste (so? folha).jpg:0685-0526,2.204,230.908,142.667,247.490,19.602
6,Terceiro teste (so? folha).jpg:0556-0403,3.514,224.291,122.569,254.200,31.273
7,Terceiro teste (so? folha).jpg:0586-0571,0.919,218.016,135.537,254.599,8.105
8,Terceiro teste (so? folha).jpg:0462-0577,1.650,196.823,134.453,239.483,14.753
9,Terceiro teste (so? folha).jpg:0709-0608,2.116,186.170,54.054,251.242,18.820
10,Terceiro teste (so? folha).jpg:1560-0549,1.625,200.775,125.090,239.733,14.455
11,Terceiro teste (so? folha).jpg:1470-0606,1.599,209.179,87.430,253.242,14.187
12,Terceiro teste (so? folha).jpg:1365-0508,1.259,206.367,146.294,246.252,11.137
13,Terceiro teste (so? folha).jpg:1619-0666,1.499,182.414,55.870,253.021,13.333
14,Terceiro teste (so? folha).jpg:2246-0520,1.952,198.726,129.782,250.757,17.423
15,Terceiro teste (so? folha).jpg:2197-0403,1.108,224.746,185.868,247.656,9.807
16,Terceiro teste (so? folha).jpg:1971-0465,1.637,202.548,82.233,253.868,14.538
17,Terceiro teste (so? folha).jpg:2382-0262,1.763,216.621,119.548,253.408,15.683
18,Terceiro teste (so? folha).jpg:2013-0340,0.642,173.069,70.213,222.463,5.745
19,Terceiro teste (so? folha).jpg:1332-0284,1.574,202.711,90.000,252.216,14.092
20,Terceiro teste (so? folha).jpg:0520-1345,1.322,219.408,152.625,246.605,11.749
21,Terceiro teste (so? folha).jpg:0349-1364,1.599,218.675,172.047,246.487,14.199
22,Terceiro teste (so? folha).jpg:0819-1275,1.398,219.293,179.658,252.142,12.605
23,Terceiro teste (so? folha).jpg:1246-1350,1.222,220.245,125.775,254.500,10.840
24,Terceiro teste (so? folha).jpg:1523-1304,1.977,229.328,146.667,254.530,17.588
25,Terceiro teste (so? folha).jpg:2108-1403,0.919,239.163,205.256,255.000,8.176
26,Terceiro teste (so? folha).jpg:1669-1779,4.144,237.751,128.882,255.000,36.862
27,Terceiro teste (so? folha).jpg:1669-1779,4.144,237.751,128.882,255.000,36.862
28,Terceiro teste (so? folha).jpg:1302-1634,3.577,235.687,203.667,255.000,31.870
29,Terceiro teste (so? folha).jpg:0688-1691,0.945,198.367,90.587,251.143,8.367
30,Terceiro teste (so? folha).jpg:0804-1536,1.058,234.286,191.333,255.000,9.397
31,Terceiro teste (so? folha).jpg:0462-1669,1.146,207.130,104.152,255.000,10.201
